layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
0.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
1.0,geographic-geopolitic-language,0.49245283018867925,0.33322108886488105,530.0,138.0,1.0,264.0,5.0,260.0
2.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
3.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
4.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
5.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
6.0,geographic-geopolitic-language,0.5169811320754717,0.37875457875457874,530.0,138.0,12.0,253.0,3.0,262.0
7.0,geographic-geopolitic-language,0.49245283018867925,0.33322108886488105,530.0,138.0,1.0,264.0,5.0,260.0
8.0,geographic-geopolitic-language,0.49433962264150944,0.33080808080808083,530.0,138.0,0.0,265.0,3.0,262.0
9.0,geographic-geopolitic-language,0.5660377358490566,0.4796024658048872,530.0,138.0,42.0,223.0,7.0,258.0
10.0,geographic-geopolitic-language,0.5094339622641509,0.3661336915122634,530.0,138.0,9.0,256.0,4.0,261.0
11.0,geographic-geopolitic-language,0.6867924528301886,0.6698686679174484,530.0,138.0,122.0,143.0,23.0,242.0
12.0,geographic-geopolitic-language,0.5056603773584906,0.35523114355231145,530.0,138.0,6.0,259.0,3.0,262.0
13.0,geographic-geopolitic-language,0.5981132075471698,0.5409688083242861,530.0,138.0,65.0,200.0,13.0,252.0
14.0,geographic-geopolitic-language,0.5452830188679245,0.4386456827181274,530.0,138.0,29.0,236.0,5.0,260.0
15.0,geographic-geopolitic-language,0.5415094339622641,0.4293120638085743,530.0,138.0,26.0,239.0,4.0,261.0
16.0,geographic-geopolitic-language,0.5622641509433962,0.48436661298980144,530.0,138.0,46.0,219.0,13.0,252.0
17.0,geographic-geopolitic-language,0.5981132075471698,0.5306009588397457,530.0,138.0,58.0,207.0,6.0,259.0
18.0,geographic-geopolitic-language,0.5509433962264151,0.4445031619369726,530.0,138.0,30.0,235.0,3.0,262.0
19.0,geographic-geopolitic-language,0.5283018867924528,0.39877668070277333,530.0,138.0,17.0,248.0,2.0,263.0
20.0,geographic-geopolitic-language,0.5132075471698113,0.3680678793256433,530.0,138.0,9.0,256.0,2.0,263.0
21.0,geographic-geopolitic-language,0.530188679245283,0.40514128852247683,530.0,138.0,19.0,246.0,3.0,262.0
22.0,geographic-geopolitic-language,0.5018867924528302,0.3375125471108502,530.0,138.0,1.0,264.0,0.0,265.0
23.0,geographic-geopolitic-language,0.5075471698113208,0.35305094495811873,530.0,138.0,5.0,260.0,1.0,264.0
24.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
25.0,geographic-geopolitic-language,0.5,0.3333333333333333,530.0,138.0,0.0,265.0,0.0,265.0
26.0,geographic-geopolitic-language,0.5037735849056604,0.3416646594027327,530.0,138.0,2.0,263.0,0.0,265.0
27.0,geographic-geopolitic-language,0.5113207547169811,0.3580084089814282,530.0,138.0,6.0,259.0,0.0,265.0
28.0,geographic-geopolitic-language,0.5283018867924528,0.3960692081897573,530.0,138.0,16.0,249.0,1.0,264.0
29.0,geographic-geopolitic-language,0.5433962264150943,0.4280643550228311,530.0,138.0,25.0,240.0,2.0,263.0
30.0,geographic-geopolitic-language,0.5641509433962264,0.5021774400136624,530.0,138.0,56.0,209.0,22.0,243.0
31.0,geographic-geopolitic-language,0.6169811320754717,0.5689002327994839,530.0,138.0,75.0,190.0,13.0,252.0
0.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
1.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
2.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
3.0,corporate-products-employment,0.4230769230769231,0.2972972972972973,52.0,616.0,0.0,26.0,4.0,22.0
4.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
5.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
6.0,corporate-products-employment,0.5192307692307693,0.3746993746993747,52.0,616.0,1.0,25.0,0.0,26.0
7.0,corporate-products-employment,0.5192307692307693,0.3746993746993747,52.0,616.0,1.0,25.0,0.0,26.0
8.0,corporate-products-employment,0.5384615384615384,0.4135338345864662,52.0,616.0,2.0,24.0,0.0,26.0
9.0,corporate-products-employment,0.5192307692307693,0.3746993746993747,52.0,616.0,1.0,25.0,0.0,26.0
10.0,corporate-products-employment,0.5,0.3333333333333333,52.0,616.0,0.0,26.0,0.0,26.0
11.0,corporate-products-employment,0.5384615384615384,0.4135338345864662,52.0,616.0,2.0,24.0,0.0,26.0
12.0,corporate-products-employment,0.6153846153846154,0.5630252100840336,52.0,616.0,7.0,19.0,1.0,25.0
13.0,corporate-products-employment,0.5576923076923077,0.45011494252873563,52.0,616.0,3.0,23.0,0.0,26.0
14.0,corporate-products-employment,0.6346153846153846,0.5783183952198037,52.0,616.0,7.0,19.0,0.0,26.0
15.0,corporate-products-employment,0.6346153846153846,0.5908902691511387,52.0,616.0,8.0,18.0,1.0,25.0
16.0,corporate-products-employment,0.5192307692307693,0.3746993746993747,52.0,616.0,1.0,25.0,0.0,26.0
17.0,corporate-products-employment,0.6153846153846154,0.5630252100840336,52.0,616.0,7.0,19.0,1.0,25.0
18.0,corporate-products-employment,0.6538461538461539,0.6176470588235294,52.0,616.0,9.0,17.0,1.0,25.0
19.0,corporate-products-employment,0.6538461538461539,0.6067226890756303,52.0,616.0,8.0,18.0,0.0,26.0
20.0,corporate-products-employment,0.5961538461538461,0.5478260869565217,52.0,616.0,7.0,19.0,2.0,24.0
21.0,corporate-products-employment,0.7307692307692307,0.715625,52.0,616.0,13.0,13.0,1.0,25.0
22.0,corporate-products-employment,0.6346153846153846,0.6102564102564103,52.0,616.0,10.0,16.0,3.0,23.0
23.0,corporate-products-employment,0.7115384615384616,0.6923076923076923,52.0,616.0,12.0,14.0,1.0,25.0
24.0,corporate-products-employment,0.7307692307692307,0.7242424242424242,52.0,616.0,15.0,11.0,3.0,23.0
25.0,corporate-products-employment,0.6346153846153846,0.5908902691511387,52.0,616.0,8.0,18.0,1.0,25.0
26.0,corporate-products-employment,0.75,0.7453860640301319,52.0,616.0,16.0,10.0,3.0,23.0
27.0,corporate-products-employment,0.9038461538461539,0.9038105808361081,52.0,616.0,24.0,2.0,3.0,23.0
28.0,corporate-products-employment,0.8269230769230769,0.8215783454060236,52.0,616.0,17.0,9.0,0.0,26.0
29.0,corporate-products-employment,0.6346153846153846,0.6014521984671238,52.0,616.0,9.0,17.0,2.0,24.0
30.0,corporate-products-employment,0.5384615384615384,0.4135338345864662,52.0,616.0,2.0,24.0,0.0,26.0
31.0,corporate-products-employment,0.7115384615384616,0.6980255516840883,52.0,616.0,13.0,13.0,2.0,24.0
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
,religion,,,,,,,,
0.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
1.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
2.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
3.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
4.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
5.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
6.0,media,0.44,0.3055555555555556,50.0,618.0,0.0,25.0,3.0,22.0
7.0,media,0.5,0.3333333333333333,50.0,618.0,0.0,25.0,0.0,25.0
8.0,media,0.54,0.4165398274987316,50.0,618.0,2.0,23.0,0.0,25.0
9.0,media,0.54,0.4165398274987316,50.0,618.0,2.0,23.0,0.0,25.0
10.0,media,0.56,0.5592948717948718,50.0,618.0,15.0,10.0,12.0,13.0
11.0,media,0.62,0.5703301673450927,50.0,618.0,7.0,18.0,1.0,24.0
12.0,media,0.7,0.6782496782496783,50.0,618.0,11.0,14.0,1.0,24.0
13.0,media,0.64,0.5863970588235294,50.0,618.0,7.0,18.0,0.0,25.0
14.0,media,0.74,0.7267759562841529,50.0,618.0,13.0,12.0,1.0,24.0
15.0,media,0.68,0.64349376114082,50.0,618.0,9.0,16.0,0.0,25.0
16.0,media,0.76,0.75,50.0,618.0,14.0,11.0,1.0,24.0
17.0,media,0.6,0.5238095238095238,50.0,618.0,5.0,20.0,0.0,25.0
18.0,media,0.94,0.9399759903961584,50.0,618.0,24.0,1.0,2.0,23.0
19.0,media,0.84,0.8389694041867954,50.0,618.0,19.0,6.0,2.0,23.0
20.0,media,0.8,0.7996794871794872,50.0,618.0,19.0,6.0,4.0,21.0
21.0,media,0.8,0.7916666666666667,50.0,618.0,25.0,0.0,10.0,15.0
22.0,media,0.72,0.6961805555555556,50.0,618.0,25.0,0.0,14.0,11.0
23.0,media,0.7,0.6847414880201765,50.0,618.0,12.0,13.0,2.0,23.0
24.0,media,0.76,0.7536945812807883,50.0,618.0,23.0,2.0,10.0,15.0
25.0,media,0.7,0.6703296703296704,50.0,618.0,10.0,15.0,0.0,25.0
26.0,media,0.92,0.9194847020933977,50.0,618.0,25.0,0.0,4.0,21.0
27.0,media,0.68,0.64349376114082,50.0,618.0,9.0,16.0,0.0,25.0
28.0,media,0.88,0.8782467532467533,50.0,618.0,19.0,6.0,0.0,25.0
29.0,media,0.8,0.7916666666666667,50.0,618.0,15.0,10.0,0.0,25.0
30.0,media,0.86,0.8572011423908609,50.0,618.0,25.0,0.0,7.0,18.0
31.0,media,0.64,0.5863970588235294,50.0,618.0,25.0,0.0,18.0,7.0
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
,hierarchy,,,,,,,,
0.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
1.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
2.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
3.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
4.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
5.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
6.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
7.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
8.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
9.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
10.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
11.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
12.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
13.0,occupy-position,0.8125,0.8056680161943319,16.0,652.0,5.0,3.0,0.0,8.0
14.0,occupy-position,0.6875,0.6536796536796536,16.0,652.0,3.0,5.0,0.0,8.0
15.0,occupy-position,0.6875,0.6536796536796536,16.0,652.0,3.0,5.0,0.0,8.0
16.0,occupy-position,0.5625,0.45893719806763283,16.0,652.0,1.0,7.0,0.0,8.0
17.0,occupy-position,0.5625,0.45893719806763283,16.0,652.0,1.0,7.0,0.0,8.0
18.0,occupy-position,0.9375,0.9372549019607843,16.0,652.0,7.0,1.0,0.0,8.0
19.0,occupy-position,0.625,0.5636363636363637,16.0,652.0,2.0,6.0,0.0,8.0
20.0,occupy-position,0.5625,0.45893719806763283,16.0,652.0,1.0,7.0,0.0,8.0
21.0,occupy-position,0.8125,0.8056680161943319,16.0,652.0,5.0,3.0,0.0,8.0
22.0,occupy-position,0.875,0.873015873015873,16.0,652.0,8.0,0.0,2.0,6.0
23.0,occupy-position,0.5625,0.45893719806763283,16.0,652.0,1.0,7.0,0.0,8.0
24.0,occupy-position,0.875,0.873015873015873,16.0,652.0,6.0,2.0,0.0,8.0
25.0,occupy-position,0.875,0.873015873015873,16.0,652.0,8.0,0.0,2.0,6.0
26.0,occupy-position,0.75,0.7333333333333334,16.0,652.0,4.0,4.0,0.0,8.0
27.0,occupy-position,0.5,0.3333333333333333,16.0,652.0,0.0,8.0,0.0,8.0
28.0,occupy-position,0.8125,0.8056680161943319,16.0,652.0,5.0,3.0,0.0,8.0
29.0,occupy-position,0.8125,0.8056680161943319,16.0,652.0,5.0,3.0,0.0,8.0
