,layer,relation_group_id,success_rate,nb_test_examples,nb_train_examples
0,0,geographic-geopolitic-language,0.5,102,6
1,1,geographic-geopolitic-language,0.5,102,6
2,2,geographic-geopolitic-language,0.5,102,6
3,3,geographic-geopolitic-language,0.5,102,6
4,4,geographic-geopolitic-language,0.5,102,6
5,5,geographic-geopolitic-language,0.5,102,6
6,6,geographic-geopolitic-language,0.5,102,6
7,7,geographic-geopolitic-language,0.5,102,6
8,8,geographic-geopolitic-language,0.5,102,6
9,9,geographic-geopolitic-language,0.5,102,6
10,10,geographic-geopolitic-language,0.5,102,6
11,11,geographic-geopolitic-language,0.5,102,6
12,12,geographic-geopolitic-language,0.5,102,6
13,13,geographic-geopolitic-language,0.5,102,6
14,14,geographic-geopolitic-language,0.5,102,6
15,15,geographic-geopolitic-language,0.5,102,6
16,16,geographic-geopolitic-language,0.5,102,6
17,17,geographic-geopolitic-language,0.5,102,6
18,18,geographic-geopolitic-language,0.5,102,6
19,19,geographic-geopolitic-language,0.5,102,6
20,20,geographic-geopolitic-language,0.5,102,6
21,21,geographic-geopolitic-language,0.5,102,6
22,22,geographic-geopolitic-language,0.5,102,6
23,23,geographic-geopolitic-language,0.5,102,6
24,24,geographic-geopolitic-language,0.5,102,6
25,25,geographic-geopolitic-language,0.5,102,6
26,26,geographic-geopolitic-language,0.5,102,6
27,27,geographic-geopolitic-language,0.5,102,6
28,28,geographic-geopolitic-language,0.5,102,6
29,29,geographic-geopolitic-language,0.5,102,6
30,30,geographic-geopolitic-language,0.5,102,6
31,31,geographic-geopolitic-language,0.5,102,6
32,0,corporate-products-employment,0.5,6,102
33,1,corporate-products-employment,0.5,6,102
34,2,corporate-products-employment,0.5,6,102
35,3,corporate-products-employment,0.5,6,102
36,4,corporate-products-employment,0.5,6,102
37,5,corporate-products-employment,0.5,6,102
38,6,corporate-products-employment,0.5,6,102
39,7,corporate-products-employment,0.5,6,102
40,8,corporate-products-employment,0.5,6,102
41,9,corporate-products-employment,0.5,6,102
42,10,corporate-products-employment,0.5,6,102
43,11,corporate-products-employment,0.5,6,102
44,12,corporate-products-employment,0.5,6,102
45,13,corporate-products-employment,0.5,6,102
46,14,corporate-products-employment,0.5,6,102
47,15,corporate-products-employment,0.5,6,102
48,16,corporate-products-employment,0.5,6,102
49,17,corporate-products-employment,0.5,6,102
50,18,corporate-products-employment,0.5,6,102
51,19,corporate-products-employment,0.5,6,102
52,20,corporate-products-employment,0.5,6,102
53,21,corporate-products-employment,0.5,6,102
54,22,corporate-products-employment,0.5,6,102
55,23,corporate-products-employment,0.5,6,102
56,24,corporate-products-employment,0.5,6,102
57,25,corporate-products-employment,0.5,6,102
58,26,corporate-products-employment,0.5,6,102
59,27,corporate-products-employment,0.5,6,102
60,28,corporate-products-employment,0.5,6,102
61,29,corporate-products-employment,0.5,6,102
62,30,corporate-products-employment,0.5,6,102
63,31,corporate-products-employment,0.5,6,102
