layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
0.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
1.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
2.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
3.0,geographic-geopolitic-language,0.508695652173913,0.36639118457300274,920.0,116.0,16.0,444.0,8.0,452.0
4.0,geographic-geopolitic-language,0.4989130434782609,0.3328498912255257,920.0,116.0,0.0,460.0,1.0,459.0
5.0,geographic-geopolitic-language,0.5043478260869565,0.39302394221921283,920.0,116.0,35.0,425.0,31.0,429.0
6.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
7.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
8.0,geographic-geopolitic-language,0.5130434782608696,0.40092674957412544,920.0,116.0,37.0,423.0,25.0,435.0
9.0,geographic-geopolitic-language,0.4967391304347826,0.3318809005083515,920.0,116.0,0.0,460.0,3.0,457.0
10.0,geographic-geopolitic-language,0.7804347826086957,0.7796182452944749,920.0,116.0,331.0,129.0,73.0,387.0
11.0,geographic-geopolitic-language,0.717391304347826,0.7172296067221804,920.0,116.0,341.0,119.0,141.0,319.0
12.0,geographic-geopolitic-language,0.7282608695652174,0.7258654309157049,920.0,116.0,292.0,168.0,82.0,378.0
13.0,geographic-geopolitic-language,0.7445652173913043,0.7444779703845004,920.0,116.0,351.0,109.0,126.0,334.0
14.0,geographic-geopolitic-language,0.6423913043478261,0.6408122191249574,920.0,116.0,326.0,134.0,195.0,265.0
15.0,geographic-geopolitic-language,0.5728260869565217,0.5246078172272471,920.0,116.0,117.0,343.0,50.0,410.0
16.0,geographic-geopolitic-language,0.7402173913043478,0.7378733022503937,920.0,116.0,297.0,163.0,76.0,384.0
17.0,geographic-geopolitic-language,0.6326086956521739,0.5882393444880535,920.0,116.0,140.0,320.0,18.0,442.0
18.0,geographic-geopolitic-language,0.6271739130434782,0.5818131941674364,920.0,116.0,137.0,323.0,20.0,440.0
19.0,geographic-geopolitic-language,0.5467391304347826,0.4404309224488367,920.0,116.0,51.0,409.0,8.0,452.0
20.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
21.0,geographic-geopolitic-language,0.4989130434782609,0.3328498912255257,920.0,116.0,0.0,460.0,1.0,459.0
22.0,geographic-geopolitic-language,0.5021739130434782,0.3419170243204578,920.0,116.0,4.0,456.0,2.0,458.0
23.0,geographic-geopolitic-language,0.5021739130434782,0.34004109863672816,920.0,116.0,3.0,457.0,1.0,459.0
24.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
25.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
26.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
27.0,geographic-geopolitic-language,0.5,0.3333333333333333,920.0,116.0,0.0,460.0,0.0,460.0
28.0,geographic-geopolitic-language,0.5576086956521739,0.46718576354055946,920.0,116.0,67.0,393.0,14.0,446.0
29.0,geographic-geopolitic-language,0.566304347826087,0.4753834082928523,920.0,116.0,69.0,391.0,8.0,452.0
30.0,geographic-geopolitic-language,0.5239130434782608,0.40592658115877933,920.0,116.0,36.0,424.0,14.0,446.0
