,layer,relation_group_id,success_rate,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
0,0,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
1,1,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
2,2,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
3,3,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
4,4,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
5,5,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
6,6,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
7,7,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
8,8,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
9,9,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
10,10,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
11,11,geographic-geopolitic-language,0.7549019607843137,0.7440529960855164,102,6,28,23,2,49
12,12,geographic-geopolitic-language,0.5784313725490197,0.48731735827001754,102,6,8,43,0,51
13,13,geographic-geopolitic-language,0.6078431372549019,0.552042160737813,102,6,13,38,2,49
14,14,geographic-geopolitic-language,0.5980392156862745,0.5443948142499183,102,6,13,38,3,48
15,15,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
16,16,geographic-geopolitic-language,0.7843137254901961,0.78222049689441,102,6,35,16,6,45
17,17,geographic-geopolitic-language,0.7156862745098039,0.7004556962025317,102,6,25,26,3,48
18,18,geographic-geopolitic-language,0.5098039215686274,0.3547570850202429,102,6,1,50,0,51
19,19,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
20,20,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
21,21,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
22,22,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
23,23,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
24,24,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
25,25,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
26,26,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
27,27,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
28,28,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
29,29,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
30,30,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
31,31,geographic-geopolitic-language,0.5,0.3333333333333333,102,6,0,51,0,51
32,0,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
33,1,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
34,2,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
35,3,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
36,4,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
37,5,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
38,6,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
39,7,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
40,8,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
41,9,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
42,10,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
43,11,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
44,12,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
45,13,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
46,14,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
47,15,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
48,16,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
49,17,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
50,18,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
51,19,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
52,20,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
53,21,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
54,22,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
55,23,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
56,24,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
57,25,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
58,26,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
59,27,corporate-products-employment,0.6666666666666666,0.625,6,102,1,2,0,3
60,28,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
61,29,corporate-products-employment,0.8333333333333334,0.8285714285714285,6,102,3,0,1,2
62,30,corporate-products-employment,0.5,0.3333333333333333,6,102,0,3,0,3
63,31,corporate-products-employment,0.3333333333333333,0.25,6,102,0,3,1,2
