layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
0.0,geographic-geopolitic-language,0.6034836065573771,0.5967992143332004,2928.0,1228.0,1072.0,392.0,769.0,695.0
1.0,geographic-geopolitic-language,0.5710382513661202,0.5593937081985879,2928.0,1228.0,598.0,866.0,390.0,1074.0
2.0,geographic-geopolitic-language,0.4979508196721312,0.4907573047107931,2928.0,1228.0,555.0,909.0,561.0,903.0
3.0,geographic-geopolitic-language,0.4265710382513661,0.42655598842826614,2928.0,1228.0,617.0,847.0,832.0,632.0
4.0,geographic-geopolitic-language,0.4532103825136612,0.4452381738519474,2928.0,1228.0,488.0,976.0,625.0,839.0
5.0,geographic-geopolitic-language,0.43306010928961747,0.42455337438885554,2928.0,1228.0,456.0,1008.0,652.0,812.0
6.0,geographic-geopolitic-language,0.519808743169399,0.5086110706603866,2928.0,1228.0,540.0,924.0,482.0,982.0
7.0,geographic-geopolitic-language,0.6345628415300546,0.6247281550188369,2928.0,1228.0,1166.0,298.0,772.0,692.0
8.0,geographic-geopolitic-language,0.601775956284153,0.601585606309563,2928.0,1228.0,913.0,551.0,615.0,849.0
9.0,geographic-geopolitic-language,0.5860655737704918,0.5502753295311515,2928.0,1228.0,445.0,1019.0,193.0,1271.0
10.0,geographic-geopolitic-language,0.5741120218579235,0.5632863087532651,2928.0,1228.0,610.0,854.0,393.0,1071.0
11.0,geographic-geopolitic-language,0.6140710382513661,0.5781877002519675,2928.0,1228.0,472.0,992.0,138.0,1326.0
12.0,geographic-geopolitic-language,0.5741120218579235,0.5389123698666309,2928.0,1228.0,436.0,1028.0,219.0,1245.0
13.0,geographic-geopolitic-language,0.5597677595628415,0.4806206638882524,2928.0,1228.0,248.0,1216.0,73.0,1391.0
14.0,geographic-geopolitic-language,0.6755464480874317,0.6705664324533279,2928.0,1228.0,809.0,655.0,295.0,1169.0
15.0,geographic-geopolitic-language,0.6246584699453552,0.6105654951902684,2928.0,1228.0,636.0,828.0,271.0,1193.0
16.0,geographic-geopolitic-language,0.7175546448087432,0.7174153826620013,2928.0,1228.0,1018.0,446.0,381.0,1083.0
