,layer,relation_group_id,success_rate,macro_f1,nb_test_examples,nb_train_examples
0,0,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
1,1,geographic-geopolitic-language,0.5258620689655172,0.4783746218624806,116,16
2,2,geographic-geopolitic-language,0.6379310344827587,0.6378233719892952,116,16
3,3,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
4,4,geographic-geopolitic-language,0.5,0.4690656565656566,116,16
5,5,geographic-geopolitic-language,0.5172413793103449,0.3958333333333333,116,16
6,6,geographic-geopolitic-language,0.4396551724137931,0.3682446585672392,116,16
7,7,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
8,8,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
9,9,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
10,10,geographic-geopolitic-language,0.49137931034482757,0.32947976878612717,116,16
11,11,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
12,12,geographic-geopolitic-language,0.5086206896551724,0.390879778903731,116,16
13,13,geographic-geopolitic-language,0.4827586206896552,0.37589670014347204,116,16
14,14,geographic-geopolitic-language,0.5344827586206896,0.513664596273292,116,16
15,15,geographic-geopolitic-language,0.5603448275862069,0.5163110129997548,116,16
16,16,geographic-geopolitic-language,0.4827586206896552,0.4456833386428799,116,16
17,17,geographic-geopolitic-language,0.49137931034482757,0.38091361374943467,116,16
18,18,geographic-geopolitic-language,0.46551724137931033,0.4615154237795747,116,16
19,19,geographic-geopolitic-language,0.5948275862068966,0.5782470797555503,116,16
20,20,geographic-geopolitic-language,0.646551724137931,0.6065194010093489,116,16
21,21,geographic-geopolitic-language,0.7327586206896551,0.7303337082864643,116,16
22,22,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
23,23,geographic-geopolitic-language,0.5344827586206896,0.4174107142857143,116,16
24,24,geographic-geopolitic-language,0.5,0.34806201550387594,116,16
25,25,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
26,26,geographic-geopolitic-language,0.5,0.3333333333333333,116,16
27,27,geographic-geopolitic-language,0.3275862068965517,0.3176470588235294,116,16
28,0,corporate-products-employment,0.25,0.2,16,116
29,1,corporate-products-employment,0.5,0.3333333333333333,16,116
30,2,corporate-products-employment,0.5,0.3333333333333333,16,116
31,3,corporate-products-employment,0.4375,0.30434782608695654,16,116
32,4,corporate-products-employment,0.5,0.3333333333333333,16,116
33,5,corporate-products-employment,0.5,0.3333333333333333,16,116
34,6,corporate-products-employment,0.5,0.3333333333333333,16,116
35,7,corporate-products-employment,0.5,0.3333333333333333,16,116
36,8,corporate-products-employment,0.4375,0.30434782608695654,16,116
37,9,corporate-products-employment,0.0625,0.058823529411764705,16,116
38,10,corporate-products-employment,0.375,0.36507936507936506,16,116
39,11,corporate-products-employment,0.5625,0.45893719806763283,16,116
40,12,corporate-products-employment,0.4375,0.37662337662337664,16,116
41,13,corporate-products-employment,0.5,0.3333333333333333,16,116
42,14,corporate-products-employment,0.5,0.4181818181818182,16,116
43,15,corporate-products-employment,0.375,0.36507936507936506,16,116
44,16,corporate-products-employment,0.4375,0.37662337662337664,16,116
45,17,corporate-products-employment,0.5,0.4181818181818182,16,116
46,18,corporate-products-employment,0.9375,0.9372549019607843,16,116
47,19,corporate-products-employment,0.5625,0.5151515151515151,16,116
48,20,corporate-products-employment,0.75,0.7333333333333334,16,116
49,21,corporate-products-employment,0.5625,0.45893719806763283,16,116
50,22,corporate-products-employment,0.4375,0.30434782608695654,16,116
51,23,corporate-products-employment,0.5,0.3333333333333333,16,116
52,24,corporate-products-employment,0.5,0.4181818181818182,16,116
53,25,corporate-products-employment,0.625,0.6,16,116
54,26,corporate-products-employment,0.5,0.3333333333333333,16,116
55,27,corporate-products-employment,0.5,0.3333333333333333,16,116
